ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Daakaka-35_green-1,,Daakaka,35_green,yesyes,yesyes,,,vonPrince2017,,,,,green,SN002178,
Daakaka-36_hair-1,,Daakaka,36_hair,vevyu,vevyu,,,vonPrince2017,,,,,hair; feathers,SN001940,
Daakaka-36_hair-2,,Daakaka,36_hair,vy,vy,,,vonPrince2017,,,,,arm; hair,SN001971,
Daakaka-37_hand-1,,Daakaka,37_hand,vyaa,vyaa,,,vonPrince2017,,,,,germinated coconut; hand; arm,SN001976,
Daakaka-38_head-1,,Daakaka,38_head,kodin baten,kodin baten,,,vonPrince2017,,,,,head; skull,SN000639,
Daakaka-38_head-2,,Daakaka,38_head,kor,kor,,,vonPrince2017,,,,,head,SN000651,
Daakaka-39_hear-1,,Daakaka,39_hear,ongane,ongane,,,vonPrince2017,,,,,hear; smell; feel,SN001162,
Daakaka-40_heart-1,,Daakaka,40_heart,vevyos,vevyos,,,vonPrince2017,,,,,heart,SN001939,
Daakaka-93_hotorwarm-1,,Daakaka,93_hotorwarm,pyang,pyang,,,vonPrince2017,,,,,"hot, warm",SN001319,
Daakaka-42_i-1,,Daakaka,42_i,nye,nye,,,vonPrince2017,,,,,I; [first person singular]; aunt,SN001122,
Daakaka-43_kill-1,,Daakaka,43_kill,tyuveni,tyuveni,,,vonPrince2017,,,,,kill (several people),SN001855,
Daakaka-44_knee-1,,Daakaka,44_knee,bun lye,bun lye,,,vonPrince2017,,,,,knee,SN000192,
Daakaka-45_knowsomething-1,,Daakaka,45_knowsomething,kuowilye,kuowilye,,,vonPrince2017,,,,,know; be able to,SN000689,
Daakaka-46_leaf-1,,Daakaka,46_leaf,ye,ye,,,vonPrince2017,,,,,[third person dual]; [third person paucal]; to; leaf; a row of planted trees,SN002157,
Daakaka-47_lierest-1,,Daakaka,47_lierest,sowe,sowe,,,vonPrince2017,,,,,lie,SN001504,
Daakaka-48_liver-1,,Daakaka,48_liver,ingyar,ingyar,,,vonPrince2017,,,,,liver,SN000549,
Daakaka-49_long-1,,Daakaka,49_long,ve-vyop,ve-vyop,,,vonPrince2017,,,,,long (reduplication),SN001938,
Daakaka-49_long-2,,Daakaka,49_long,vyop,vyop,,,vonPrince2017,,,,,long,SN001998,
Daakaka-50_louse-1,,Daakaka,50_louse,ur,ur,,,vonPrince2017,,,,,louse,SN001909,
Daakaka-51_man-1,,Daakaka,51_man,teme,teme,,,vonPrince2017,,,,,man; guy,SN001689,
Daakaka-51_man-2,,Daakaka,51_man,vyanten,vyanten,,,vonPrince2017,,,,,man; person,SN001984,
Daakaka-54_moon-1,,Daakaka,54_moon,bung miyaa,bung miyaa,,,vonPrince2017,,,,,moon,SN000199,
Daakaka-54_moon-2,,Daakaka,54_moon,ebyate,ebyate,,,vonPrince2017,,,,,moon ; moon; month,SN000400,
Daakaka-55_mountain-1,,Daakaka,55_mountain,weu,weu,,,vonPrince2017,,,,,mountain,SN002063,
Daakaka-56_mouth-1,,Daakaka,56_mouth,bung,bung,,,vonPrince2017,,,,,mouth ; mouth; cape; soot,SN000196,
Daakaka-56_mouth-2,,Daakaka,56_mouth,bwilin pwe,bwilin pwe,,,vonPrince2017,,,,,mouth,SN000271,
Daakaka-57_name-1,,Daakaka,57_name,is,is,,,vonPrince2017,,,,,call; name,SN000554,
Daakaka-58_neck-1,,Daakaka,58_neck,pedyu,pedyu,,,vonPrince2017,,,,,neck,SN001203,
Daakaka-58_neck-2,,Daakaka,58_neck,pyady,pyady,,,vonPrince2017,,,,,neck,SN001307,
Daakaka-59_new-1,,Daakaka,59_new,vi,vi,,,vonPrince2017,,,,,white man; new; young; tree,SN001944,
Daakaka-60_night-1,,Daakaka,60_night,limyaek,limyaek,,,vonPrince2017,,,,,night,SN000778,
Daakaka-60_night-2,,Daakaka,60_night,myaek,myaek,,,vonPrince2017,,,,,be night; be dark; night; secret,SN001015,
Daakaka-60_night-3,,Daakaka,60_night,myaek,myaek,,,vonPrince2017,,,,,be night; be dark; night; secret,SN001016,
Daakaka-61_nose-1,,Daakaka,61_nose,kus,kus,,,vonPrince2017,,,,,nose,SN000692,
Daakaka-62_not-1,,Daakaka,62_not,saka,saka,,,vonPrince2017,,,,,"[assertion marker, negative]",SN001358,
Daakaka-63_one-1,,Daakaka,63_one,swa,swa,,,vonPrince2017,,,,,one; a,SN001534,
Daakaka-63_one-2,,Daakaka,63_one,tuswa,tuswa,,,vonPrince2017,,,,,"one, a",SN001830,
Daakaka-63_one-3,,Daakaka,63_one,wan,wan,,,vonPrince2017,,,,,one,SN002016,
Daakaka-64_person-1,,Daakaka,64_person,vyanten,vyanten,,,vonPrince2017,,,,,man; person,SN001984,
Daakaka-65_rainingorrain-1,,Daakaka,65_rainingorrain,os,os,,,vonPrince2017,,,,,raining or rain,SN002226,
Daakaka-66_red-1,,Daakaka,66_red,pili,pili,,,vonPrince2017,,,,,red,SN001232,
Daakaka-67_road-1,,Daakaka,67_road,seli,seli,,,vonPrince2017,,,,,road,SN001408,
Daakaka-68_root-1,,Daakaka,68_root,luue,luue,,,vonPrince2017,,,,,root,SN000824,
Daakaka-68_root-2,,Daakaka,68_root,luwu,luwu,,,vonPrince2017,,,,,erect; build; root,SN000828,
Daakaka-69_round-1,,Daakaka,69_round,kukyur,kukyur,,,vonPrince2017,,,,,round,SN000669,
Daakaka-69_round-2,,Daakaka,69_round,raon,raon,,,vonPrince2017,,,,,round,SN001330,
Daakaka-71_say-1,,Daakaka,71_say,ka,ka,,,vonPrince2017,,,,,[second person dual]; say; [assertion marker]; fly; [complementizer],SN000563,
Daakaka-72_see-1,,Daakaka,72_see,esi,esi,,,vonPrince2017,,,,,see,SN000448,
Daakaka-74_sit-1,,Daakaka,74_sit,tas,tas,,,vonPrince2017,,,,,sit,SN001646,
Daakaka-75_skin-1,,Daakaka,75_skin,uli,uli,,,vonPrince2017,,,,,skin,SN001881,
Daakaka-75_skin-2,,Daakaka,75_skin,ulin,ulin,,,vonPrince2017,,,,,skin,SN001886,
Daakaka-75_skin-3,,Daakaka,75_skin,un,un,,,vonPrince2017,,,,,skin; clear; clean,SN001893,
Daakaka-76_sleep-1,,Daakaka,76_sleep,pwer,pwer,,,vonPrince2017,,,,,stay; sleep,SN001294,
Daakaka-76_sleep-2,,Daakaka,76_sleep,pwer myaek,pwer myaek,,,vonPrince2017,,,,,sleep,SN001296,
Daakaka-77_small-1,,Daakaka,77_small,kekei,kekei,,,vonPrince2017,,,,,baby; newborn child; small,SN000596,
