ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	FORM	MEANING	SENSE	SENSE_ID
88	1405	NAME	is	call; name	name	SN000554
89	1333	NECK	pedyu	neck	neck	SN001203
90	1333	NECK	pyady	neck	neck	SN001307
91	1231	NEW	vi	white man; new; young; tree	new; young	SN001944
92	1233	NIGHT	limyaek	night	night	SN000778
93	1233	NIGHT	myaek	be night; be dark; night; secret	be night; be dark	SN001015
94	1233	NIGHT	myaek	be night; be dark; night; secret	night	SN001016
95	1221	NOSE	kus	nose	nose	SN000692
96	1240	NOT	mwede	or; or not	or; or not	SN001004
97	1240	NOT	saka	[assertion marker, negative]	[assertion marker, negative]	SN001358
98	1493	ONE	swa	one; a	one; a	SN001534
99	1493	ONE	tuswa	one, a	one, a	SN001830
100	1493	ONE	wan	one	one	SN002016
101	1493	ONE	yesukuo	one or more leaves of an arbitrary tree	one or more leaves of an arbitrary tree	SN002177
102	683	PERSON				
103	2108	RAINING OR RAIN				
104	156	RED	pili	red	red	SN001232
105	667	ROAD	seli	road	road	SN001408
106	670	ROOT	luue	root	root	SN000824
107	670	ROOT	luwu	erect; build; root	root	SN000828
108	1395	ROUND	kukyur	round	round	SN000669
109	1395	ROUND	raon	round	round	SN001330
110	671	SAND				
111	1458	SAY	ka	[second person dual]; say; [assertion marker]; fly; [complementizer]	say	SN000563
112	1409	SEE	esi	see	see	SN000448
113	714	SEED				
114	1416	SIT	tas	sit	sit	SN001646
115	763	SKIN	uli	skin	skin	SN001881
116	763	SKIN	ulin	skin	skin	SN001886
117	763	SKIN	un	skin; clear; clean	skin	SN001893
118	1585	SLEEP	pwer	stay; sleep	stay; sleep	SN001294
119	1585	SLEEP	pwer myaek	sleep	sleep	SN001296
120	1246	SMALL	kekei	baby; newborn child; small	small	SN000596
121	1246	SMALL	sye	cut in a controlled movement with a long, slender blade or scissors; something; small	small	SN001547
122	778	SMOKE (EXHAUST)	dokone yes	smoke (literally: 'pull smoke')	smoke (literally: 'pull smoke')	SN000354
123	778	SMOKE (EXHAUST)	kuon	smoke; taboo; bitter; too salty; too spicy	smoke	SN000683
124	778	SMOKE (EXHAUST)	smok	smoke	smoke	SN001493
125	778	SMOKE (EXHAUST)	yes	smoke; turn	smoke	SN002172
126	778	SMOKE (EXHAUST)	yeskuon	smoke	smoke	SN002175
127	1442	STAND	tinyo	stand	stand	SN001751
128	1430	STAR	misyu	star	star	SN000967
129	857	STONE	ebu	stone; throw stones or sticks at someone	stone; throw stones or sticks at someone	SN000396
130	857	STONE	lilisi	stone; a hard single seed of a fruit	stone; a hard single seed of a fruit	SN000775
131	857	STONE	vyor	stone ; stone; coin; money	stone ; stone	SN001999
132	1343	SUN	yaa	taboo; (mostly adverbial) be only part of something; wild yam; sun ; sun; time ; time; hurt	sun ; sun	SN002124
133	1439	SWIM	yaayaa	swim	swim	SN002132
134	1220	TAIL	ebyalun syen	tail (of a bird)	tail (of a bird)	SN000398
135	78	THAT				
136	1214	THIS	en	eat ; eat; burn; this, [demonstrative]	this, [demonstrative]	SN000422
137	1214	THIS	enke	this	this	SN000432
138	1215	THOU				
139	1205	TONGUE				
140	1380	TOOTH	ep	honeyeater (a kind of bird); tooth	tooth	SN000440
141	906	TREE	apas	a tree or post for fastening a pig for a ceremony	a tree or post for fastening a pig for a ceremony	SN000044
142	906	TREE	lee	tree; wood; wooden stick	tree; wood; wooden stick	SN000740
143	906	TREE	leevyó	tree (fern)	tree (fern)	SN000744
144	906	TREE	levyuk	tree	tree	SN000758
145	906	TREE	li-	tree	tree	SN000768
146	906	TREE	lo-	tree	tree	SN000805
147	906	TREE	lu-	tree	tree	SN000815
148	906	TREE	vi	white man; new; young; tree	tree	SN001945
149	1498	TWO	-kote	in two [resultative suffix]	in two [resultative suffix]	SN000659
150	1498	TWO	ló	two	two	SN000839
