ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile,Meaning,Sense_ID,Entry_ID
Amahuaca-92_walk-3,,Amahuaca,92_walk,híyaaváhinhqui,híyaaváhinhqui,h í j aː v á h i n h q u i,,Hyde1980,,,^ h í y aa v á h i nh q u i $,default,andar,andar-3,138-hiyaavahinhqui
Amahuaca-92_walk-4,,Amahuaca,92_walk,vóhi,vóhi,v ó h i,,Hyde1980,,,^ v óh i $,default,andar; ir; lupuna,andar-4,139-vohi
Amahuaca-94_water-1,,Amahuaca,94_water,junú,junú,j u n ú,,Hyde1980,,,^ j u n ú $,default,agua; caldo; jugo; líquido; río,agua-1,55-junu
Amahuaca-94_water-2,,Amahuaca,94_water,vacónhma,vacónhma,v a k ó n h m a,,Hyde1980,,,^ v a c ó nh m a $,default,agua,agua-2,56-vaconhma
Amahuaca-95_we-1,,Amahuaca,95_we,nócu,nócu,n ó k u,,Hyde1980,,,^ n ó c u $,default,nosotros,nosotros-1,1376-nocu
Amahuaca-95_we-2,,Amahuaca,95_we,non,non,n o n,,Hyde1980,,,^ n o n $,default,nosotros,nosotros-2,1377-non
Amahuaca-96_what-1,,Amahuaca,96_what,jáú,jáú,j á ú,,Hyde1980,,,^ j á ú $,default,cómo; qué,que-1,1660-jau
Amahuaca-97_white-1,,Amahuaca,97_white,joxó,joxó,j o x ó,,Hyde1980,,,^ j o x ó $,default,blanco,blanco-1,293-joxo
Amahuaca-98_who-1,,Amahuaca,98_who,tzóva,tzóva,t z ó v a,,Hyde1980,,,^ t z ó v a $,default,quién,quien-1,1674-tzova
Amahuaca-99_woman-1,,Amahuaca,99_woman,xáno,xáno,x á n o,,Hyde1980,,,^ x á n o $,default,mujer,mujer-1,1344-xano
Amahuaca-100_yellow-1,,Amahuaca,100_yellow,pánshin,pánshin,p á n ʃ i n,,Hyde1980,,,^ p á n sh i n $,default,amarillo,amarillo-1,113-panshin
